Species,HP,ATK,DEF,SPD,SPC,Type1,Type2,ExpYield,ExpGroup
Ninetales,73,76,75,100,100,Fire,,178,Medium Fast
Jigglypuff,115,45,20,20,25,Normal,,76,Fast
Wigglytuff,140,70,45,45,50,Normal,,109,Fast
Zubat,40,45,35,55,40,Poison,Flying,54,Medium Fast
Golbat,75,80,70,90,75,Poison,Flying,171,Medium Fast
Oddish,45,50,55,30,75,Grass,Poison,78,Medium Slow
Gloom,60,65,70,40,85,Grass,Poison,132,Medium Slow
Vileplume,75,80,85,50,100,Grass,Poison,184,Medium Slow
Paras,35,70,55,25,55,Bug,Grass,70,Medium Fast
Parasect,60,95,80,30,80,Bug,Grass,128,Medium Fast
Venonat,60,55,50,45,40,Bug,Poison,75,Medium Fast
Venomoth,70,65,60,90,90,Bug,Poison,138,Medium Fast
Diglett,10,55,25,95,45,Ground,,81,Medium Fast
Dugtrio,35,80,50,120,70,Ground,,153,Medium Fast
Meowth,40,45,35,90,40,Normal,,69,Medium Fast
Persian,65,70,60,115,65,Normal,,148,Medium Fast
Psyduck,50,52,48,55,50,Water,,80,Medium Fast
Golduck,80,82,78,85,80,Water,,174,Medium Fast
Mankey,40,80,35,70,35,Fighting,,74,Medium Fast
Primeape,65,105,60,95,60,Fighting,,149,Medium Fast
Growlithe,55,70,45,60,50,Fire,,91,Slow
Arcanine,90,110,80,95,80,Fire,,213,Slow
Poliwag,40,50,40,90,40,Water,,77,Medium Slow
Poliwhirl,65,65,65,90,50,Water,,131,Medium Slow
Poliwrath,90,85,95,70,70,Water,Fighting,185,Medium Slow
Abra,25,20,15,90,105,Psychic,,73,Medium Slow
Kadabra,40,35,30,105,120,Psychic,,145,Medium Slow
Alakazam,55,50,45,120,135,Psychic,,186,Medium Slow
Machop,70,80,50,35,35,Fighting,,88,Medium Slow
Machoke,80,100,70,45,50,Fighting,,146,Medium Slow
Machamp,90,130,80,55,65,Fighting,,193,Medium Slow
Bellsprout,50,75,35,40,70,Grass,Poison,84,Medium Slow
Weepinbell,65,90,50,55,85,Grass,Poison,151,Medium Slow
Victreebel,80,105,65,70,100,Grass,Poison,191,Medium Slow
Tentacool,40,40,35,70,100,Water,Poison,105,Slow
Tentacruel,80,70,65,100,120,Water,Poison,205,Slow
Geodude,40,80,100,20,30,Rock,Ground,86,Medium Slow
Graveler,55,95,115,35,45,Rock,Ground,134,Medium Slow
Golem,80,110,130,45,55,Rock,Ground,177,Medium Slow
Ponyta,50,85,55,90,65,Fire,,152,Medium Fast
Rapidash,65,100,70,105,80,Fire,,192,Medium Fast
Slowpoke,90,65,65,15,40,Water,Psychic,99,Medium Fast
Slowbro,95,75,110,30,80,Water,Psychic,164,Medium Fast
Magnemite,25,35,70,45,95,Electric,,89,Medium Fast
Magneton,50,60,95,70,120,Electric,,161,Medium Fast
Farfetch'd,52,65,55,60,58,Normal,Flying,94,Medium Fast
Doduo,35,85,45,75,35,Normal,Flying,96,Medium Fast
Dodrio,60,110,70,100,60,Normal,Flying,158,Medium Fast
Seel,65,45,55,45,70,Water,,100,Medium Fast
Dewgong,90,70,80,70,95,Water,Ice,176,Medium Fast
Grimer,80,80,50,25,40,Poison,,90,Medium Fast
Muk,105,105,75,50,65,Poison,,157,Medium Fast
Shellder,30,65,100,40,45,Water,,97,Slow
Cloyster,50,95,180,70,85,Water,Ice,203,Slow
Gastly,30,35,30,80,100,Ghost,Poison,95,Medium Slow
Haunter,45,50,45,95,115,Ghost,Poison,126,Medium Slow
Gengar,60,65,60,110,130,Ghost,Poison,190,Medium Slow
Onix,35,45,160,70,30,Rock,Ground,108,Medium Fast
Drowzee,60,48,45,42,90,Psychic,,102,Medium Fast
Hypno,85,73,70,67,115,Psychic,,165,Medium Fast
Krabby,30,105,90,50,25,Water,,115,Medium Fast
Kingler,55,130,115,75,50,Water,,206,Medium Fast
Voltorb,40,30,50,100,55,Electric,,103,Medium Fast
Electrode,60,50,70,140,80,Electric,,150,Medium Fast
Exeggcute,60,40,80,40,60,Grass,Psychic,98,Slow
Exeggutor,95,95,85,55,125,Grass,Psychic,212,Slow
Cubone,50,50,95,35,40,Ground,,87,Medium Fast
Marowak,60,80,110,45,50,Ground,,124,Medium Fast
Hitmonlee,50,120,53,87,35,Fighting,,139,Medium Fast
Hitmonchan,50,105,79,76,35,Fighting,,140,Medium Fast
Lickitung,90,55,75,30,60,Normal,,127,Medium Fast
Koffing,40,65,95,35,60,Poison,,114,Medium Fast
Weezing,65,90,120,60,85,Poison,,173,Medium Fast
Rhyhorn,80,85,95,25,30,Ground,Rock,135,Slow
Rhydon,105,130,120,40,45,Ground,Rock,204,Slow
Chansey,250,5,5,50,105,Normal,,255,Fast
Tangela,65,55,115,60,100,Grass,,166,Medium Fast
Kangaskhan,105,95,80,90,40,Normal,,175,Medium Fast
Horsea,30,40,70,60,70,Water,,83,Medium Fast
Seadra,55,65,95,85,95,Water,,155,Medium Fast
Goldeen,45,67,60,63,50,Water,,111,Medium Fast
Seaking,80,92,65,68,80,Water,,170,Medium Fast
Staryu,30,45,55,85,70,Water,,106,Slow
Starmie,60,75,85,115,100,Water,Psychic,207,Slow
Mr. Mime,40,45,65,90,100,Psychic,,136,Medium Fast
Scyther,70,110,80,105,55,Bug,Flying,187,Medium Fast
Jynx,65,50,35,95,95,Ice,Psychic,137,Medium Fast
Electabuzz,65,83,57,105,85,Electric,,156,Medium Fast
Magmar,65,95,57,93,85,Fire,,167,Medium Fast
Pinsir,65,125,100,85,55,Bug,,200,Slow
Tauros,75,100,95,110,70,Normal,,211,Slow
Magikarp,20,10,55,80,20,Water,,20,Slow
Gyarados,95,125,79,81,100,Water,Flying,214,Slow
Lapras,130,85,80,60,95,Water,Ice,219,Slow
Ditto,48,48,48,48,48,Normal,,61,Medium Fast
Eevee,55,55,50,55,65,Normal,,92,Medium Fast
Vaporeon,130,65,60,65,110,Water,,196,Medium Fast
Jolteon,65,65,60,130,110,Electric,,197,Medium Fast
Flareon,65,130,60,65,110,Fire,,198,Medium Fast
Porygon,65,60,70,40,75,Normal,,130,Medium Fast
Omanyte,35,40,100,35,90,Rock,Water,120,Medium Fast
Omastar,70,60,125,55,115,Rock,Water,199,Medium Fast
Kabuto,30,80,90,55,45,Rock,Water,119,Medium Fast
Kabutops,60,115,105,80,70,Rock,Water,201,Medium Fast
Aerodactyl,80,105,65,130,60,Rock,Flying,202,Slow
Snorlax,160,110,65,30,65,Normal,,154,Slow
Articuno,90,85,100,85,125,Ice,Flying,215,Slow
Zapdos,90,90,85,100,125,Electric,Flying,216,Slow
Moltres,90,100,90,90,125,Fire,Flying,217,Slow
Dratini,41,64,45,50,50,Dragon,,67,Slow
Dragonair,61,84,65,70,70,Dragon,,144,Slow
Dragonite,91,134,95,80,100,Dragon,Flying,218,Slow
Mewtwo,106,110,90,130,154,Psychic,,220,Slow
Mew,100,100,100,100,100,Psychic,,64,Medium Slow
